栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00263466,8.0,0.0018302,0.694663
-9.9,0.00251119,8.0,0.00173202,0.689721
-9.7,0.00242371,8.0,0.00166359,0.686382
-9.6,0.00237657,8.0,0.0016336,0.687377
-9.5,0.00237102,8.0,0.00163772,0.690724
-9.3,0.00236213,8.0,0.001646,0.696829
-9.2,0.00234577,8.0,0.001646,0.701689
-9.1,0.00231976,8.0,0.00164016,0.707039
-8.9,0.00228664,8.0,0.00164207,0.718115
-8.8,0.00225352,8.0,0.00166096,0.737051
-8.7,0.00222332,8.0,0.00170979,0.769026
-8.6,0.00220405,8.0,0.0018116,0.821941
-8.4,0.00218997,8.0,0.00199795,0.912318
-8.3,0.00217463,8.0,0.00230525,1.06007
-8.2,0.00214909,8.0,0.00277451,1.29102
-8.0,0.00213542,8.0,0.00347555,1.62757
-7.9,0.00212737,8.0,0.00441914,2.07728
-7.8,0.00210666,8.0,0.00555099,2.63497
-7.6,0.0020748,8.0,0.00688695,3.31933
-7.5,0.00204096,8.0,0.0083838,4.10777
-7.4,0.00202031,8.0,0.0100177,4.9585
-7.2,0.0020116,8.0,0.0117776,5.85484
-7.1,0.0020119,8.0,0.0136235,6.77146
-7.0,0.0019869,8.0,0.0154963,7.79923
-6.8,0.00196219,8.0,0.0174192,8.87743
-6.7,0.00194739,8.0,0.0193729,9.94814
-6.6,0.00192042,8.0,0.0213655,11.1254
-6.5,0.0019049,8.0,0.0233893,12.2785
-6.3,0.00189034,8.0,0.0254212,13.448
-6.2,0.00187125,8.0,0.0274636,14.6766
-6.1,0.00185657,8.0,0.0295312,15.9063
-5.9,0.00184804,8.0,0.0316231,17.1117
-5.8,0.00182345,8.0,0.0336937,18.478
-5.7,0.00180053,8.0,0.0357937,19.8795
-5.5,0.00178621,8.0,0.0379215,21.2301
-5.4,0.00176264,8.0,0.0400388,22.7152
-5.3,0.0017377,8.0,0.0421638,24.2641
-5.1,0.00172541,8.0,0.0442967,25.6731
-5.0,0.00170339,8.0,0.0463866,27.2319
-4.9,0.00168674,8.0,0.048466,28.7335
-4.7,0.00167307,8.0,0.0505652,30.223
-4.6,0.00165833,8.0,0.0526245,31.7334
-4.5,0.00163763,8.0,0.0546713,33.3844
-4.4,0.00161024,8.0,0.0567048,35.2151
-4.2,0.00158261,8.0,0.0587222,37.1047
-4.1,0.00156357,8.0,0.0607481,38.8522
-4.0,0.00154907,8.0,0.0627506,40.5086
-3.8,0.00153767,8.0,0.0647047,42.0797
-3.7,0.00152383,8.0,0.066679,43.7575
-3.6,0.00151559,8.0,0.068621,45.2768
-3.4,0.00149536,8.0,0.0705268,47.1638
-3.3,0.00148104,8.0,0.0724105,48.8917
-3.2,0.00146887,8.0,0.0742796,50.5692
-3.0,0.00144649,8.0,0.0761101,52.6171
-2.9,0.00142889,8.0,0.0778906,54.5113
-2.8,0.00141319,8.0,0.0796905,56.3905
-2.6,0.00138879,8.0,0.0814196,58.6263
-2.5,0.00137053,8.0,0.083147,60.6678
-2.4,0.00134898,8.0,0.0848375,62.8901
-2.3,0.00133222,8.0,0.0865072,64.9346
-2.1,0.0013053,8.0,0.0881215,67.5105
-2.0,0.00129152,8.0,0.0897171,69.4663
-1.9,0.00127558,8.0,0.0912306,71.5209
-1.7,0.0012609,8.0,0.0927389,73.5498
-1.6,0.0012433,8.0,0.0942056,75.7706
-1.5,0.0012171,8.0,0.0956433,78.5829
-1.3,0.00119682,8.0,0.0970192,81.0642
-1.2,0.00118202,8.0,0.0983281,83.1865
-1.1,0.00116489,8.0,0.099613,85.5128
-0.9,0.00114776,8.0,0.10081,87.832
-0.8,0.00114203,8.0,0.101967,89.2857
-0.7,0.00111954,8.0,0.103072,92.0664
-0.5,0.0011011,8.0,0.104126,94.5654
-0.4,0.00107532,8.0,0.10513,97.7662
-0.3,0.00105688,8.0,0.106064,100.356
-0.1,0.00104304,8.0,0.106956,102.543
0.0,0.00102651,8.0,0.107716,104.934
0.1,0.00104394,8.0,0.108554,103.985
0.2,0.001015,8.0,0.109261,107.646
0.4,0.000998711,8.0,0.109928,110.07
0.5,0.000976872,8.0,0.110555,113.172
0.6,0.00095724,8.0,0.111125,116.089
0.8,0.000932774,8.0,0.111654,119.701
0.9,0.000908727,8.0,0.11212,123.381
1.0,0.000887842,8.0,0.112566,126.786
1.2,0.00086821,8.0,0.112958,130.104
1.3,0.00083909,8.0,0.113315,135.045
1.4,0.000810627,8.0,0.113639,140.187
1.6,0.000788071,8.0,0.113949,144.592
1.7,0.000764024,8.0,0.114214,149.49
1.8,0.000747375,8.0,0.114454,153.141
1.9,0.000722671,8.0,0.114671,158.677
2.1,0.000689554,8.0,0.114869,166.584
2.2,0.000667177,8.0,0.115034,172.419
2.3,0.000638952,8.0,0.115194,180.286
2.5,0.000607207,8.0,0.115317,189.914
2.6,0.0006013,8.0,0.115513,192.105
2.7,0.00062851,8.0,0.115681,184.056
2.9,0.000689971,8.0,0.115861,167.922
3.0,0.000551772,8.0,0.115869,209.994
