栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00320967,8.0,0.00231425,0.721024
-9.9,0.00299801,8.0,0.00214609,0.715838
-9.7,0.00292383,8.0,0.00209667,0.717097
-9.6,0.00286625,8.0,0.00206001,0.718713
-9.5,0.00282949,8.0,0.00204349,0.722211
-9.3,0.00280508,8.0,0.00203354,0.724949
-9.2,0.00278736,8.0,0.0020333,0.729472
-9.1,0.00275514,8.0,0.00204051,0.740619
-8.9,0.0027296,8.0,0.00205852,0.754147
-8.8,0.00273658,8.0,0.00211777,0.773875
-8.7,0.00272023,8.0,0.00220021,0.808832
-8.6,0.00268186,8.0,0.00233631,0.871153
-8.4,0.00265673,8.0,0.00257243,0.968269
-8.3,0.0026337,8.0,0.00296181,1.12458
-8.2,0.00261586,8.0,0.00353123,1.34993
-8.0,0.00259718,8.0,0.00431685,1.66213
-7.9,0.0025748,8.0,0.00532787,2.06924
-7.8,0.00255326,8.0,0.00651974,2.5535
-7.6,0.00252301,8.0,0.00788938,3.12697
-7.5,0.00250218,8.0,0.00940955,3.76054
-7.4,0.00247861,8.0,0.0110253,4.44818
-7.2,0.00247019,8.0,0.0127416,5.15815
-7.1,0.00245181,8.0,0.0145214,5.92273
-7.0,0.00244245,8.0,0.016369,6.70188
-6.8,0.0024317,8.0,0.0182652,7.51129
-6.7,0.0024036,8.0,0.0201493,8.38297
-6.6,0.00238253,8.0,0.0221116,9.28072
-6.5,0.00235771,8.0,0.0240957,10.22
-6.3,0.00233086,8.0,0.0260986,11.197
-6.2,0.00231206,8.0,0.0281226,12.1634
-6.1,0.00228085,8.0,0.0301773,13.2307
-5.9,0.00225429,8.0,0.0322543,14.308
-5.8,0.00223854,8.0,0.0343125,15.3281
-5.7,0.00221061,8.0,0.0363906,16.4618
-5.5,0.00220357,8.0,0.0385301,17.4853
-5.4,0.00218448,8.0,0.0406467,18.607
-5.3,0.00215261,8.0,0.0427546,19.8617
-5.1,0.0021368,8.0,0.04489,21.008
-5.0,0.00210583,8.0,0.0469976,22.3179
-4.9,0.00209139,8.0,0.049112,23.4829
-4.7,0.00207235,8.0,0.0512284,24.72
-4.6,0.00204603,8.0,0.0533309,26.0656
-4.5,0.00201638,8.0,0.0554143,27.4821
-4.4,0.00198636,8.0,0.057488,28.9414
-4.2,0.00195789,8.0,0.0595563,30.4186
-4.1,0.00193188,8.0,0.0616092,31.8908
-4.0,0.00191535,8.0,0.0636563,33.2348
-3.8,0.00189196,8.0,0.0656572,34.7033
-3.7,0.0018691,8.0,0.067643,36.1901
-3.6,0.0018651,8.0,0.0696392,37.3381
-3.4,0.00183682,8.0,0.0715724,38.9654
-3.3,0.00181074,8.0,0.0734773,40.5786
-3.2,0.00178603,8.0,0.0753643,42.1965
-3.0,0.00176765,8.0,0.0772184,43.6842
-2.9,0.00175142,8.0,0.0790298,45.1233
-2.8,0.0017235,8.0,0.0808286,46.8979
-2.6,0.00169455,8.0,0.0825988,48.7438
-2.5,0.00166949,8.0,0.084325,50.5094
-2.4,0.00166114,8.0,0.0860277,51.7884
-2.3,0.00164592,8.0,0.0876984,53.2823
-2.1,0.00162044,8.0,0.0893181,55.1197
-2.0,0.0015943,8.0,0.0909058,57.0193
-1.9,0.0015659,8.0,0.0924375,59.0315
-1.7,0.00154674,8.0,0.0939449,60.7374
-1.6,0.00151983,8.0,0.0953993,62.7697
-1.5,0.00149262,8.0,0.0968128,64.861
-1.3,0.00146857,8.0,0.0981706,66.8477
-1.2,0.00145335,8.0,0.0994886,68.4547
-1.1,0.00143092,8.0,0.100753,70.4113
-0.9,0.00141683,8.0,0.10196,71.9635
-0.8,0.00139517,8.0,0.103109,73.9043
-0.7,0.00138157,8.0,0.104204,75.4243
-0.5,0.00135221,8.0,0.105234,77.8237
-0.4,0.0013306,8.0,0.106213,79.8234
-0.3,0.00130644,8.0,0.107144,82.0122
-0.1,0.00127373,8.0,0.108001,84.7911
0.0,0.00125321,8.0,0.108729,86.7604
0.1,0.0012624,8.0,0.109563,86.7894
0.2,0.00124098,8.0,0.11026,88.8491
0.4,0.00122343,8.0,0.110916,90.6599
0.5,0.00120261,8.0,0.111525,92.7358
0.6,0.00117283,8.0,0.112081,95.5646
0.8,0.00114998,8.0,0.112601,97.9156
0.9,0.00111704,8.0,0.113067,101.22
1.0,0.0010847,8.0,0.113489,104.627
1.2,0.00105958,8.0,0.113877,107.474
1.3,0.00103147,8.0,0.114203,110.719
1.4,0.00100283,8.0,0.114531,114.208
1.6,0.000971262,8.0,0.114818,118.215
1.7,0.000936653,8.0,0.115065,122.847
1.8,0.000901924,8.0,0.11529,127.827
1.9,0.000862362,8.0,0.115487,133.919
2.1,0.000838016,8.0,0.115694,138.057
2.2,0.00079917,8.0,0.115844,144.955
2.3,0.000799468,8.0,0.116,145.096
2.5,0.000772079,8.0,0.116154,150.443
2.6,0.000876325,8.0,0.116433,132.865
2.7,0.00084088,8.0,0.116504,138.55
2.9,0.000885813,8.0,0.116691,131.733
3.0,0.000897807,8.0,0.116853,130.154
