栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00269463,0.8,0.00172946,0.641817
-9.9,0.00254359,0.8,0.00164392,0.646299
-9.7,0.0024804,0.8,0.0016035,0.646468
-9.6,0.00241995,0.8,0.00156433,0.646431
-9.5,0.00236332,0.8,0.00152457,0.645097
-9.3,0.00232334,0.8,0.00149721,0.644421
-9.2,0.00227936,0.8,0.00146562,0.642996
-9.1,0.00226581,0.8,0.00145852,0.643708
-8.9,0.00224534,0.8,0.00144594,0.643974
-8.8,0.00220679,0.8,0.00142186,0.644311
-8.7,0.00218645,0.8,0.00140863,0.644254
-8.6,0.00215631,0.8,0.00139295,0.645988
-8.4,0.00213948,0.8,0.00138019,0.645105
-8.3,0.00211036,0.8,0.00135551,0.642312
-8.2,0.00210022,0.8,0.00135742,0.646323
-8.0,0.00205892,0.8,0.00136827,0.664557
-7.9,0.00204024,0.8,0.00142735,0.699599
-7.8,0.00200575,0.8,0.00156147,0.778497
-7.6,0.00197699,0.8,0.00184367,0.932564
-7.5,0.0019465,0.8,0.00230203,1.18265
-7.4,0.00191386,0.8,0.00295311,1.54301
-7.2,0.0018839,0.8,0.0037782,2.00552
-7.1,0.00185179,0.8,0.00474599,2.56292
-7.0,0.00182912,0.8,0.00582586,3.18506
-6.8,0.00179672,0.8,0.0069725,3.88068
-6.7,0.00176419,0.8,0.00815382,4.62185
-6.6,0.00173167,0.8,0.00935196,5.40054
-6.5,0.00169151,0.8,0.0105179,6.21805
-6.3,0.00165266,0.8,0.0116328,7.03883
-6.2,0.00161638,0.8,0.0126516,7.82712
-6.1,0.0015866,0.8,0.0135784,8.55817
-5.9,0.00154835,0.8,0.0143785,9.28634
-5.8,0.0014959,0.8,0.0150643,10.0704
-5.7,0.00145562,0.8,0.0156463,10.7489
-5.5,0.00141516,0.8,0.0161479,11.4107
-5.4,0.00136933,0.8,0.0165736,12.1034
-5.3,0.00133514,0.8,0.0169399,12.6877
-5.1,0.00129731,0.8,0.017252,13.2983
-5.0,0.00125631,0.8,0.0175147,13.9414
-4.9,0.00121496,0.8,0.0177319,14.5946
-4.7,0.00116823,0.8,0.0179209,15.3402
-4.6,0.0011273,0.8,0.0180817,16.0398
-4.5,0.00109197,0.8,0.0182184,16.684
-4.4,0.00104721,0.8,0.0183402,17.5134
-4.2,0.000999951,0.8,0.0184453,18.4462
-4.1,0.000958597,0.8,0.0185398,19.3406
-4.0,0.000920943,0.8,0.0186249,20.2237
-3.8,0.000878277,0.8,0.0186934,21.2842
-3.7,0.000842651,0.8,0.01876,22.2631
-3.6,0.000803863,0.8,0.0188224,23.4149
-3.4,0.000773788,0.8,0.0188769,24.3954
-3.3,0.00073864,0.8,0.0189251,25.6215
-3.2,0.000699912,0.8,0.0189664,27.0983
-3.0,0.00066357,0.8,0.0190101,28.6482
-2.9,0.00062878,0.8,0.0190448,30.2885
-2.8,0.000594408,0.8,0.0190791,32.0977
-2.6,0.000561528,0.8,0.0191074,34.0275
-2.5,0.000526798,0.8,0.0191363,36.3257
-2.4,0.000493798,0.8,0.0191626,38.8066
-2.3,0.000463842,0.8,0.0191948,41.3822
-2.1,0.000429888,0.8,0.019213,44.693
-2.0,0.000400946,0.8,0.0192344,47.9725
-1.9,0.000370095,0.8,0.0192534,52.0229
-1.7,0.000340854,0.8,0.019273,56.5433
-1.6,0.000313046,0.8,0.0192861,61.6079
-1.5,0.000287625,0.8,0.0193095,67.1343
-1.3,0.000260951,0.8,0.0193225,74.0465
-1.2,0.000235411,0.8,0.0193407,82.1572
-1.1,0.000212496,0.8,0.0193503,91.0619
-0.9,0.000189044,0.8,0.0193591,102.405
-0.8,0.000165891,0.8,0.0193712,116.771
-0.7,0.000143991,0.8,0.0193859,134.633
-0.5,0.00012215,0.8,0.0193957,158.786
-0.4,9.97722e-5,0.8,0.0194063,194.506
-0.3,8.14524e-5,0.8,0.0194103,238.302
-0.1,6.43857e-5,0.8,0.0194212,301.638
0.0,4.79754e-5,0.8,0.0194267,404.93
0.1,7.48785e-5,0.8,0.0194428,259.658
0.2,5.9543e-5,0.8,0.0194506,326.665
0.4,4.51622e-5,0.8,0.0194548,430.776
0.5,2.64254e-5,0.8,0.0194621,736.492
0.6,1.10283e-7,0.8,0.0194652,176502
0.8,3.89148e-5,0.8,0.0194659,500.218
0.9,0.000107358,0.8,0.0194566,181.231
1.0,0.000209217,0.8,0.019428,92.8605
1.2,0.00035028,0.8,0.019377,55.3186
1.3,0.000541109,0.8,0.0192825,35.6351
1.4,0.000786956,0.8,0.019167,24.3559
1.6,0.00107201,0.8,0.0190243,17.7464
1.7,0.0013521,0.8,0.018882,13.9649
1.8,0.00146417,0.8,0.0188256,12.8575
1.9,0.0014989,0.8,0.0188115,12.5502
2.1,0.00155875,0.8,0.0187118,12.0044
2.2,0.00152778,0.8,0.0187997,12.3052
2.3,0.0016279,0.8,0.0187461,11.5155
2.5,0.00187524,0.8,0.0185898,9.91329
2.6,0.00201255,0.8,0.0184955,9.19008
2.7,0.00211846,0.8,0.0184465,8.7075
2.9,0.00212312,0.8,0.018487,8.70747
3.0,0.00213129,0.8,0.018493,8.6769
