栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00338135,5.0,0.0024324,0.719358
-9.9,0.00318377,5.0,0.00228486,0.717659
-9.7,0.00314069,5.0,0.00225875,0.719189
-9.6,0.00309593,5.0,0.00223163,0.720827
-9.5,0.0030911,5.0,0.00223318,0.722455
-9.3,0.00304623,5.0,0.0022082,0.724896
-9.2,0.00300308,5.0,0.00217768,0.725149
-9.1,0.00297867,5.0,0.0021654,0.726969
-8.9,0.00294311,5.0,0.00214591,0.72913
-8.8,0.00277501,5.0,0.00199938,0.720495
-8.7,0.00277381,5.0,0.00203372,0.733186
-8.6,0.00275162,5.0,0.00207914,0.755606
-8.4,0.00273664,5.0,0.00218453,0.798253
-8.3,0.00273968,5.0,0.00240075,0.876288
-8.2,0.00259993,5.0,0.00262232,1.00861
-8.0,0.0026149,5.0,0.00318363,1.2175
-7.9,0.00263495,5.0,0.00398028,1.51057
-7.8,0.00261681,5.0,0.0049423,1.88867
-7.6,0.00259032,5.0,0.00609769,2.35403
-7.5,0.00254682,5.0,0.00741571,2.91175
-7.4,0.00236857,5.0,0.00872389,3.68319
-7.2,0.00234022,5.0,0.0103019,4.40211
-7.1,0.00232984,5.0,0.0119982,5.1498
-7.0,0.00231641,5.0,0.0137685,5.9439
-6.8,0.00229141,5.0,0.0155875,6.80258
-6.7,0.00226169,5.0,0.0174426,7.7122
-6.6,0.00224015,5.0,0.019361,8.64272
-6.5,0.00221181,5.0,0.0213217,9.63993
-6.3,0.00219444,5.0,0.0233084,10.6216
-6.2,0.00217344,5.0,0.025332,11.6553
-6.1,0.00215004,5.0,0.0273831,12.7361
-5.9,0.00212516,5.0,0.0294515,13.8585
-5.8,0.00210768,5.0,0.0315436,14.966
-5.7,0.00208166,5.0,0.0336566,16.1682
-5.5,0.00206596,5.0,0.0357906,17.324
-5.4,0.00202861,5.0,0.0379043,18.6849
-5.3,0.00200969,5.0,0.0400647,19.9358
-5.1,0.00196887,5.0,0.0422108,21.4391
-5.0,0.00195873,5.0,0.0444084,22.672
-4.9,0.0019283,5.0,0.0465571,24.1441
-4.7,0.00191839,5.0,0.0487391,25.4063
-4.6,0.00188044,5.0,0.0508989,27.0675
-4.5,0.00184768,5.0,0.0530363,28.7043
-4.4,0.00182625,5.0,0.0551781,30.2139
-4.2,0.00180268,5.0,0.0573256,31.8002
-4.1,0.00178317,5.0,0.0594454,33.3369
-4.0,0.00174892,5.0,0.0615528,35.1947
-3.8,0.0017075,5.0,0.063607,37.2515
-3.7,0.00167862,5.0,0.0656564,39.1133
-3.6,0.00165069,5.0,0.0676726,40.9966
-3.4,0.0016242,5.0,0.0696895,42.907
-3.3,0.00159645,5.0,0.0716447,44.8775
-3.2,0.00157097,5.0,0.073583,46.8392
-3.0,0.00154286,5.0,0.0754602,48.9093
-2.9,0.00152102,5.0,0.0772746,50.8045
-2.8,0.00148999,5.0,0.0790443,53.0502
-2.6,0.00145323,5.0,0.0807954,55.5971
-2.5,0.00142208,5.0,0.0824819,58.0009
-2.4,0.00139571,5.0,0.0841142,60.2662
-2.3,0.00135835,5.0,0.0856662,63.0664
-2.1,0.00132064,5.0,0.0871598,65.9982
-2.0,0.00127952,5.0,0.0885816,69.2303
-1.9,0.00124617,5.0,0.0899458,72.1778
-1.7,0.00120666,5.0,0.0912373,75.6114
-1.6,0.00117169,5.0,0.092457,78.9091
-1.5,0.00113541,5.0,0.0935833,82.4225
-1.3,0.00108934,5.0,0.094637,86.8755
-1.2,0.00105461,5.0,0.0956083,90.6575
-1.1,0.00101272,5.0,0.096507,95.2948
-0.9,0.000978469,5.0,0.0973284,99.4701
-0.8,0.000938845,5.0,0.0980718,104.46
-0.7,0.000895463,5.0,0.0987218,110.247
-0.5,0.000857391,5.0,0.0993137,115.832
-0.4,0.000816932,5.0,0.0998508,122.227
-0.3,0.000780412,5.0,0.100337,128.569
-0.1,0.000742936,5.0,0.10076,135.624
0.0,0.000709042,5.0,0.101105,142.594
0.1,0.000709603,5.0,0.101449,142.966
0.2,0.000670817,5.0,0.10174,151.666
0.4,0.000632806,5.0,0.102028,161.231
0.5,0.000597063,5.0,0.102285,171.314
0.6,0.000561499,5.0,0.102511,182.567
0.8,0.00052856,5.0,0.102712,194.324
0.9,0.000495204,5.0,0.102892,207.777
1.0,0.00046316,5.0,0.103056,222.506
1.2,0.000431177,5.0,0.103238,239.433
1.3,0.000400505,5.0,0.103386,258.139
1.4,0.000371923,5.0,0.103533,278.372
1.6,0.000344951,5.0,0.103666,300.524
1.7,0.000318994,5.0,0.103781,325.338
1.8,0.000292679,5.0,0.103888,354.955
1.9,0.000268095,5.0,0.104017,387.986
2.1,0.000245897,5.0,0.10413,423.47
2.2,0.000237244,5.0,0.104236,439.362
2.3,0.000212839,5.0,0.104333,490.197
2.5,0.000211705,5.0,0.104466,493.451
2.6,0.000199234,5.0,0.104621,525.116
2.7,0.000220119,5.0,0.104791,476.065
2.9,0.000133595,5.0,0.104863,784.932
3.0,0.000152034,5.0,0.105007,690.681
