栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00331661,5.0,0.00232295,0.700399
-9.9,0.0030954,5.0,0.00216439,0.699228
-9.7,0.00300696,5.0,0.00210919,0.701436
-9.6,0.00296793,5.0,0.00209041,0.704333
-9.4,0.00292574,5.0,0.00207664,0.709783
-9.3,0.00293153,5.0,0.00208904,0.712611
-9.1,0.00288779,5.0,0.00205893,0.712978
-9.0,0.00285008,5.0,0.00202925,0.711998
-8.9,0.00281505,5.0,0.00200707,0.712978
-8.7,0.00279792,5.0,0.00200922,0.718112
-8.6,0.00275764,5.0,0.0019989,0.724859
-8.4,0.00271504,5.0,0.00200963,0.740184
-8.3,0.00269713,5.0,0.0020882,0.77423
-8.2,0.00268771,5.0,0.00227926,0.84803
-8.0,0.00266205,5.0,0.00263246,0.988885
-7.9,0.00263292,5.0,0.00321129,1.21967
-7.7,0.00260577,5.0,0.00406159,1.55869
-7.6,0.00258047,5.0,0.00518086,2.00772
-7.5,0.00255052,5.0,0.00653047,2.56045
-7.3,0.00252617,5.0,0.00809695,3.20523
-7.2,0.00250206,5.0,0.00981598,3.92316
-7.0,0.00247115,5.0,0.0116573,4.71736
-6.9,0.00245522,5.0,0.0136104,5.54345
-6.7,0.00242096,5.0,0.0156097,6.44773
-6.6,0.00239584,5.0,0.0176886,7.38305
-6.5,0.00236559,5.0,0.0198055,8.37233
-6.3,0.00232674,5.0,0.0219811,9.44717
-6.2,0.00229935,5.0,0.024197,10.5234
-6.0,0.00226706,5.0,0.0264327,11.6595
-5.9,0.00223502,5.0,0.0286924,12.8376
-5.8,0.00221067,5.0,0.0309943,14.0203
-5.6,0.00218812,5.0,0.0333051,15.2209
-5.5,0.00215709,5.0,0.0356091,16.5079
-5.3,0.00212993,5.0,0.0379318,17.8089
-5.2,0.00212057,5.0,0.0402907,18.9999
-5.0,0.00209061,5.0,0.0426357,20.3939
-4.9,0.0020748,5.0,0.0449889,21.6835
-4.8,0.00205242,5.0,0.0473505,23.0706
-4.6,0.00203147,5.0,0.0496843,24.4573
-4.5,0.0020113,5.0,0.0520232,25.8655
-4.3,0.00198481,5.0,0.0543332,27.3745
-4.2,0.00195055,5.0,0.0566664,29.0515
-4.1,0.00192472,5.0,0.0589741,30.6404
-3.9,0.00188891,5.0,0.0612353,32.4183
-3.8,0.00187775,5.0,0.0634651,33.7985
-3.6,0.00184702,5.0,0.0656699,35.5545
-3.5,0.00180931,5.0,0.0678259,37.4872
-3.4,0.00177947,5.0,0.0699557,39.3127
-3.2,0.00175309,5.0,0.0720664,41.1082
-3.1,0.00172039,5.0,0.0740858,43.0634
-2.9,0.00167683,5.0,0.0760393,45.3471
-2.8,0.00164664,5.0,0.0779446,47.3355
-2.6,0.00161388,5.0,0.0797869,49.4379
-2.5,0.00157747,5.0,0.0815833,51.7178
-2.4,0.0015363,5.0,0.0832963,54.2188
-2.2,0.00150085,5.0,0.0849542,56.6041
-2.1,0.0014669,5.0,0.0865294,58.9879
-1.9,0.00143408,5.0,0.0880299,61.3842
-1.8,0.00139989,5.0,0.0894617,63.9062
-1.7,0.00135895,5.0,0.0908103,66.8239
-1.5,0.00131622,5.0,0.0920629,69.9449
-1.4,0.00127469,5.0,0.0932374,73.1452
-1.2,0.00123626,5.0,0.0943128,76.2888
-1.1,0.00119043,5.0,0.0952837,80.0414
-0.9,0.00114436,5.0,0.0961685,84.0369
-0.8,0.00109877,5.0,0.0969839,88.2659
-0.7,0.00105443,5.0,0.0977172,92.673
-0.5,0.00100878,5.0,0.0983709,97.5147
-0.4,0.000965102,5.0,0.0989445,102.522
-0.2,0.000920466,5.0,0.0994507,108.044
-0.1,0.000876367,5.0,0.0999159,114.011
0.0,0.000889274,5.0,0.100352,112.847
0.2,0.00084637,5.0,0.10072,119.002
0.3,0.000800841,5.0,0.101049,126.179
0.5,0.000755371,5.0,0.101342,134.162
0.6,0.000713243,5.0,0.101601,142.449
0.7,0.000669743,5.0,0.101848,152.07
0.9,0.0006266,5.0,0.102083,162.916
1.0,0.000585785,5.0,0.102287,174.615
1.2,0.000527068,5.0,0.102466,194.408
1.3,0.000489535,5.0,0.102638,209.664
1.5,0.000455224,5.0,0.102795,225.812
1.6,0.000421152,5.0,0.102961,244.475
1.7,0.000388094,5.0,0.103114,265.693
1.9,0.000348353,5.0,0.103246,296.383
2.0,0.000323052,5.0,0.103372,319.986
2.2,0.000286175,5.0,0.103466,361.548
2.3,0.000243331,5.0,0.103551,425.556
2.4,0.000200726,5.0,0.103683,516.54
2.6,0.000180736,5.0,0.103818,574.418
2.7,0.000162536,5.0,0.103992,639.809
2.9,0.000148274,5.0,0.104152,702.429
3.0,0.000111039,5.0,0.104272,939.057
3.2,7.56543e-5,5.0,0.104367,1379.53
3.3,2.18903e-5,5.0,0.104486,4773.16
3.4,7.62095e-5,5.0,0.104507,1371.31
3.6,0.000125498,5.0,0.104552,833.097
3.7,8.94565e-5,5.0,0.104692,1170.31
3.9,0.00013242,5.0,0.10471,790.742
4.0,0.000171922,5.0,0.104764,609.369
