栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00360549,8.0,0.00247949,0.687698
-9.9,0.00335581,8.0,0.00229392,0.683567
-9.7,0.00322919,8.0,0.00221881,0.68711
-9.6,0.00320138,8.0,0.00220498,0.688759
-9.4,0.00312935,8.0,0.00216355,0.691374
-9.3,0.00308668,8.0,0.00214603,0.695255
-9.1,0.00304634,8.0,0.00213434,0.700624
-9.0,0.00302552,8.0,0.00215139,0.711081
-8.9,0.00299216,8.0,0.00216981,0.725165
-8.7,0.00297551,8.0,0.00221851,0.74559
-8.6,0.00295313,8.0,0.0023121,0.782932
-8.4,0.00294311,8.0,0.00249332,0.847172
-8.3,0.00289406,8.0,0.00275264,0.951134
-8.2,0.00284226,8.0,0.00318661,1.12115
-8.0,0.00281594,8.0,0.00388222,1.37866
-7.9,0.00278605,8.0,0.00484489,1.73898
-7.7,0.00277924,8.0,0.00610854,2.19792
-7.6,0.00274726,8.0,0.00758608,2.76133
-7.5,0.00271784,8.0,0.00927291,3.41187
-7.3,0.00270006,8.0,0.0111424,4.12672
-7.2,0.00266771,8.0,0.0131089,4.91391
-7.0,0.00266085,8.0,0.0151828,5.706
-6.9,0.00263764,8.0,0.0173058,6.56109
-6.7,0.00260333,8.0,0.0194689,7.47846
-6.6,0.00259975,8.0,0.0217121,8.35161
-6.5,0.00257236,8.0,0.0239649,9.31631
-6.3,0.00255314,8.0,0.0262058,10.2641
-6.2,0.00253285,8.0,0.0284637,11.2378
-6.0,0.00250122,8.0,0.0307446,12.2918
-5.9,0.00247449,8.0,0.0330196,13.344
-5.8,0.00243612,8.0,0.0352696,14.4778
-5.6,0.00241506,8.0,0.0375322,15.5409
-5.5,0.00239196,8.0,0.0397992,16.6387
-5.3,0.00237072,8.0,0.0420965,17.7568
-5.2,0.00234727,8.0,0.0443389,18.8896
-5.0,0.0023046,8.0,0.0465795,20.2115
-4.9,0.00228228,8.0,0.048835,21.3975
-4.8,0.00226969,8.0,0.0510286,22.4826
-4.6,0.00225316,8.0,0.0532335,23.6262
-4.5,0.00222899,8.0,0.0554302,24.8679
-4.3,0.00221061,8.0,0.0576273,26.0685
-4.2,0.00217391,8.0,0.0597911,27.5039
-4.1,0.00215303,8.0,0.0619131,28.7563
-3.9,0.00213387,8.0,0.0640688,30.0247
-3.8,0.00210726,8.0,0.0661475,31.3903
-3.6,0.00208237,8.0,0.0682083,32.7551
-3.5,0.00205642,8.0,0.0702564,34.1644
-3.4,0.00203129,8.0,0.0722772,35.5819
-3.2,0.00200802,8.0,0.0743043,37.0038
-3.1,0.00198093,8.0,0.0763076,38.5211
-2.9,0.00194817,8.0,0.0782656,40.1739
-2.8,0.00190765,8.0,0.0801688,42.0249
-2.6,0.00187871,8.0,0.0820646,43.6814
-2.5,0.00185215,8.0,0.0839249,45.3122
-2.4,0.00180782,8.0,0.085698,47.4041
-2.2,0.00177732,8.0,0.0874689,49.2139
-2.1,0.00175315,8.0,0.0891867,50.8723
-1.9,0.00172624,8.0,0.0908616,52.6356
-1.8,0.00170172,8.0,0.0924998,54.3567
-1.7,0.00168513,8.0,0.0941175,55.8518
-1.5,0.00166806,8.0,0.0956628,57.3497
-1.4,0.00164837,8.0,0.0971563,58.9408
-1.2,0.00162068,8.0,0.0985812,60.8271
-1.1,0.00160642,8.0,0.0999724,62.233
-0.9,0.00157879,8.0,0.101285,64.1536
-0.8,0.00156351,8.0,0.102558,65.5947
-0.7,0.00154268,8.0,0.103742,67.2479
-0.5,0.00152371,8.0,0.104859,68.8182
-0.4,0.00148534,8.0,0.105887,71.2881
-0.2,0.00144989,8.0,0.106873,73.7111
-0.1,0.00141409,8.0,0.107792,76.2271
0.0,0.00143014,8.0,0.10866,75.9786
0.2,0.00139523,8.0,0.109432,78.4329
0.3,0.00136927,8.0,0.110161,80.4524
0.5,0.00133735,8.0,0.110833,82.8751
0.6,0.00130942,8.0,0.111447,85.1117
0.7,0.00127941,8.0,0.11201,87.5482
0.9,0.00125422,8.0,0.112529,89.7203
1.0,0.0012288,8.0,0.112996,91.9564
1.2,0.00119431,8.0,0.113425,94.9712
1.3,0.00116054,8.0,0.1138,98.0578
1.5,0.00113607,8.0,0.114142,100.471
1.6,0.00110308,8.0,0.114442,103.748
1.7,0.00106005,8.0,0.114706,108.208
1.9,0.00102353,8.0,0.114945,112.303
2.0,0.000996921,8.0,0.115169,115.525
2.2,0.000982302,8.0,0.115386,117.465
2.3,0.000945246,8.0,0.115547,122.24
2.4,0.00091541,8.0,0.11568,126.37
2.6,0.000873461,8.0,0.115813,132.591
2.7,0.000813432,8.0,0.115919,142.506
2.9,0.000760264,8.0,0.116015,152.598
3.0,0.000697609,8.0,0.116115,166.447
3.2,0.000676128,8.0,0.116173,171.821
3.3,0.000645815,8.0,0.116236,179.983
3.4,0.000637819,8.0,0.116341,182.404
3.6,0.00063215,8.0,0.116435,184.189
3.7,0.000457193,8.0,0.116396,254.588
3.9,0.000418586,8.0,0.116675,278.736
4.0,0.000416736,8.0,0.116732,280.11
