栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00344431,5.0,0.00225971,0.65607
-9.9,0.00309969,5.0,0.00204659,0.660256
-9.7,0.00301508,5.0,0.00200421,0.664729
-9.6,0.00295797,5.0,0.00197136,0.666457
-9.4,0.00289728,5.0,0.00193399,0.667519
-9.3,0.00284089,5.0,0.00190257,0.669709
-9.1,0.00281278,5.0,0.00189411,0.673394
-9.0,0.00276242,5.0,0.00186043,0.673478
-8.9,0.00273538,5.0,0.00184987,0.676275
-8.7,0.00269964,5.0,0.00183163,0.678472
-8.6,0.00269033,5.0,0.00184797,0.686893
-8.4,0.0026951,5.0,0.00190025,0.705076
-8.3,0.00267625,5.0,0.00197774,0.738997
-8.2,0.00260971,5.0,0.00210942,0.808297
-8.0,0.00259724,5.0,0.00244665,0.942019
-7.9,0.00255738,5.0,0.00299132,1.16968
-7.7,0.00253661,5.0,0.00382934,1.50963
-7.6,0.00251006,5.0,0.00493419,1.96577
-7.5,0.00247533,5.0,0.00627432,2.53474
-7.3,0.00243045,5.0,0.00781749,3.21648
-7.2,0.00240324,5.0,0.00955303,3.97506
-7.0,0.00238558,5.0,0.0114146,4.78483
-6.9,0.00234619,5.0,0.0133567,5.69293
-6.7,0.00231451,5.0,0.0153915,6.65
-6.6,0.00229792,5.0,0.0175307,7.62894
-6.5,0.00225668,5.0,0.0196854,8.72317
-6.3,0.0022426,5.0,0.0219111,9.7704
-6.2,0.00221121,5.0,0.0241566,10.9246
-6.0,0.002192,5.0,0.026421,12.0534
-5.9,0.00216866,5.0,0.0287406,13.2527
-5.8,0.00214336,5.0,0.0310602,14.4914
-5.6,0.00212355,5.0,0.0334065,15.7314
-5.5,0.00208434,5.0,0.0357481,17.1508
-5.3,0.00205958,5.0,0.0381124,18.5049
-5.2,0.00202007,5.0,0.040482,20.0399
-5.0,0.00198946,5.0,0.0428488,21.5379
-4.9,0.00197556,5.0,0.0452442,22.902
-4.8,0.00192842,5.0,0.0475733,24.6696
-4.6,0.00189231,5.0,0.0499201,26.3805
-4.5,0.00187465,5.0,0.0522914,27.894
-4.3,0.0018321,5.0,0.0546379,29.8226
-4.2,0.00180262,5.0,0.0569605,31.5987
-4.1,0.00177637,5.0,0.0592693,33.3654
-3.9,0.00175375,5.0,0.0615382,35.0895
-3.8,0.00172887,5.0,0.0637673,36.8838
-3.6,0.00170888,5.0,0.0660024,38.6232
-3.5,0.00169229,5.0,0.0682014,40.3012
-3.4,0.00166699,5.0,0.0703579,42.2066
-3.2,0.00162587,5.0,0.0724187,44.5415
-3.1,0.00160158,5.0,0.0744343,46.4755
-2.9,0.00156596,5.0,0.0763779,48.7739
-2.8,0.00154388,5.0,0.078323,50.7313
-2.6,0.00150557,5.0,0.0801834,53.2578
-2.5,0.0014703,5.0,0.0819693,55.7501
-2.4,0.00143229,5.0,0.0836788,58.4231
-2.2,0.00139255,5.0,0.0852942,61.2504
-2.1,0.0013688,5.0,0.0868564,63.4544
-1.9,0.00132792,5.0,0.08837,66.5477
-1.8,0.00129575,5.0,0.0897864,69.293
-1.7,0.00125512,5.0,0.0911057,72.5872
-1.5,0.00121305,5.0,0.0923357,76.1186
-1.4,0.00116972,5.0,0.093452,79.8926
-1.2,0.00112419,5.0,0.0944753,84.0386
-1.1,0.00107795,5.0,0.0954469,88.5448
-0.9,0.00103886,5.0,0.0963277,92.7244
-0.8,0.000999713,5.0,0.0971152,97.1431
-0.7,0.000956031,5.0,0.0978084,102.307
-0.5,0.000912291,5.0,0.098409,107.87
-0.4,0.000872011,5.0,0.0989546,113.479
-0.2,0.00082821,5.0,0.0994584,120.088
-0.1,0.000787453,5.0,0.0999064,126.873
0.0,0.000826321,5.0,0.10034,121.43
0.2,0.000776495,5.0,0.100678,129.657
0.3,0.000731861,5.0,0.100981,137.978
0.5,0.000685257,5.0,0.101259,147.768
0.6,0.00064128,5.0,0.101526,158.318
0.7,0.000598077,5.0,0.101762,170.149
0.9,0.000558515,5.0,0.10198,182.591
1.0,0.00051764,5.0,0.102167,197.371
1.2,0.000480047,5.0,0.102349,213.206
1.3,0.00044508,5.0,0.10253,230.363
1.5,0.00041244,5.0,0.102711,249.033
1.6,0.000376279,5.0,0.102868,273.382
1.7,0.000356587,5.0,0.103026,288.922
1.9,0.000320068,5.0,0.103151,322.278
2.0,0.000318159,5.0,0.103288,324.643
2.2,0.000297572,5.0,0.103439,347.61
2.3,0.000271257,5.0,0.103603,381.937
2.4,0.000217076,5.0,0.103775,478.058
2.6,0.000158777,5.0,0.103922,654.515
2.7,0.000128046,5.0,0.103953,811.841
2.9,8.22181e-5,5.0,0.104076,1265.85
3.0,6.15718e-5,5.0,0.104204,1692.4
3.2,2.46352e-5,5.0,0.104288,4233.29
3.3,2.99641e-5,5.0,0.104369,3483.13
3.4,5.73533e-5,5.0,0.104466,1821.45
3.6,0.000164762,5.0,0.104479,634.121
3.7,0.00020862,5.0,0.104492,500.872
3.9,2.54706e-5,5.0,0.104796,4114.39
4.0,1.27009e-5,5.0,0.104906,8259.73
