栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-3.3,9.94127e-5,0.0,0.000355855,3.57957
-3.3,0.000109683,0.5,0.00516782,47.116
-3.3,0.000133135,1.0,0.0119831,90.0071
-3.3,0.000157818,1.5,0.0207675,131.591
-3.3,0.000200669,2.0,0.031119,155.076
-3.3,0.000245682,2.5,0.0375987,153.038
-3.3,0.000260427,3.0,0.0421664,161.913
-3.3,0.000325709,3.5,0.0471754,144.839
-3.3,0.000404684,4.0,0.0491338,121.413
-3.3,0.0004215,4.5,0.049869,118.313
-3.3,0.000435254,5.0,0.0501245,115.161
-3.3,0.000433122,5.5,0.0499116,115.237
-3.3,0.00044207,6.0,0.0498058,112.665
-3.3,0.000459757,6.5,0.0494659,107.591
-3.3,0.000476063,7.0,0.0490847,103.105
-3.3,0.000520925,7.5,0.0486891,93.4666
-3.3,0.000556509,8.0,0.0485169,87.1808
-3.3,0.000571494,8.5,0.0482946,84.5059
-3.3,0.000572485,9.0,0.0480075,83.8581
-3.3,0.000584706,9.5,0.0477196,81.613
-3.3,0.00062044,10.0,0.047406,76.4071
-3.3,4.78835e-5,0.0,0.000546192,11.4067
-3.3,6.49097e-5,0.5,0.00765881,117.992
-3.3,8.80919e-5,1.0,0.0151619,172.115
-3.3,0.00010749,1.5,0.0206529,192.138
-3.3,0.000136858,2.0,0.0278697,203.64
-3.3,0.000174635,2.5,0.0347684,199.092
-3.3,0.000210639,3.0,0.0397772,188.841
-3.3,0.000256733,3.5,0.0441674,172.036
-3.3,0.000309944,4.0,0.04658,150.285
-3.3,0.000372824,4.5,0.0481096,129.041
-3.3,0.000419939,5.0,0.0489356,116.53
-3.3,0.000458135,5.5,0.0492577,107.518
-3.3,0.000488645,6.0,0.0491394,100.563
-3.3,0.000486272,6.5,0.0488394,100.436
-3.3,0.000503839,7.0,0.0486351,96.529
-3.3,0.000530054,7.5,0.0484463,91.3988
-3.3,0.000568641,8.0,0.0482769,84.8987
-3.3,0.000565548,8.5,0.0481116,85.0708
-3.3,0.0005675,9.0,0.0479062,84.4162
-3.3,0.000587199,9.5,0.0476233,81.1025
-3.3,0.000605156,10.0,0.0473621,78.2643
-3.3,3.24487e-5,0.0,8.09694e-7,0.024953
-3.3,3.50012e-5,0.5,0.00165039,47.1524
-3.3,5.48201e-5,1.0,0.00941515,171.746
-3.3,8.39779e-5,1.5,0.0188887,224.925
-3.3,0.000119832,2.0,0.027722,231.341
-3.3,0.000162743,2.5,0.0356949,219.333
-3.3,0.000208957,3.0,0.0414832,198.525
-3.3,0.000260667,3.5,0.0452659,173.654
-3.3,0.000318112,4.0,0.0472063,148.395
-3.3,0.000378379,4.5,0.0483226,127.71
-3.3,0.000408048,5.0,0.048888,119.809
-3.3,0.000426846,5.5,0.0490595,114.935
-3.3,0.000453931,6.0,0.0489966,107.938
-3.3,0.000468766,6.5,0.0487534,104.004
-3.3,0.000489966,7.0,0.0485217,99.0307
-3.3,0.000512938,7.5,0.0482351,94.0369
-3.3,0.000528763,8.0,0.0481538,91.0688
-3.3,0.000545429,8.5,0.047991,87.9876
-3.3,0.000553056,9.0,0.047816,86.4578
-3.3,0.00057759,9.5,0.0475922,82.3979
-3.3,0.000591012,10.0,0.047299,80.0305
-3.3,3.54816e-5,0.0,0.000158054,4.45453
-3.3,4.04364e-5,0.5,0.00307132,75.9543
-3.3,6.18468e-5,1.0,0.0115884,187.373
-3.3,8.52992e-5,1.5,0.0193746,227.137
-3.3,0.000120403,2.0,0.0281649,233.922
-3.3,0.000164455,2.5,0.0358121,217.762
-3.3,0.000207756,3.0,0.041439,199.46
-3.3,0.000250577,3.5,0.045002,179.593
-3.3,0.000313307,4.0,0.0471424,150.467
-3.3,0.000366818,4.5,0.0482459,131.525
-3.3,0.000409519,5.0,0.0487581,119.062
-3.3,0.000428197,5.5,0.0489793,114.385
-3.3,0.000448526,6.0,0.048952,109.14
-3.3,0.000469817,6.5,0.0488075,103.886
-3.3,0.000488104,7.0,0.0485384,99.4427
-3.3,0.00050531,7.5,0.0483649,95.7133
-3.3,0.000528883,8.0,0.0482354,91.2024
-3.3,0.000543627,8.5,0.0480865,88.455
-3.3,0.000561314,9.0,0.0479281,85.3855
-3.3,0.000568551,9.5,0.0477069,83.9096
-3.3,0.000579241,10.0,0.0474685,81.9495
-3.3,3.83343e-5,0.0,0.000177238,4.62348
-3.3,4.13372e-5,0.5,0.00207638,50.2303
-3.3,6.17867e-5,1.0,0.010118,163.757
-3.3,7.50294e-5,1.5,0.0145259,193.603
-3.3,0.000106379,2.0,0.0237792,223.533
-3.3,0.000163854,2.5,0.0360907,220.261
-3.3,0.000214723,3.0,0.0422909,196.956
-3.3,0.000270186,3.5,0.0456704,169.033
-3.3,0.000322466,4.0,0.0474002,146.993
-3.3,0.000372404,4.5,0.0484356,130.062
-3.3,0.000411711,5.0,0.0487547,118.42
-3.3,0.00043162,5.5,0.0489481,113.406
-3.3,0.000446845,6.0,0.048915,109.467
-3.3,0.00047381,6.5,0.0486749,102.731
