栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,1.4643e-6,0.0,3.8967e-5,26.6114
-10.0,1.39708e-6,0.5,3.82177e-5,27.3554
-10.0,1.4e-6,1.0,3.32419e-5,23.7442
-10.0,1.35323e-6,1.5,2.52088e-5,18.6286
-10.0,1.32693e-6,2.0,1.46279e-5,11.0239
-10.0,1.31816e-6,2.5,1.82882e-6,1.3874
-10.0,1.34154e-6,3.0,1.40276e-5,10.4563
-10.0,1.35908e-6,3.5,3.56991e-5,26.2671
-10.0,1.34154e-6,4.0,6.2676e-5,46.7194
-10.0,1.32108e-6,4.5,9.5348e-5,72.1743
-10.0,1.32401e-6,5.0,0.000133026,100.472
-10.0,1.27432e-6,5.5,0.000177867,139.578
-10.0,1.23632e-6,6.0,0.000228614,184.915
-10.0,1.1954e-6,6.5,0.000287334,240.366
-10.0,1.21002e-6,7.0,0.000355286,293.62
-10.0,1.15448e-6,7.5,0.000442601,383.377
-10.0,1.22463e-6,8.0,0.000520055,424.663
-10.0,1.28601e-6,8.5,0.000617112,479.866
-10.0,1.27432e-6,9.0,0.00072454,568.57
-10.0,1.31231e-6,9.5,0.000843538,642.789
-10.0,1.35031e-6,10.0,0.000988943,732.382
-9.0,1.4e-6,0.0,3.88771e-5,27.7694
-9.0,1.18079e-6,0.5,3.80978e-5,32.2647
-9.0,1.21294e-6,1.0,3.36316e-5,27.7273
-9.0,1.18956e-6,1.5,2.62279e-5,22.0484
-9.0,1.16618e-6,2.0,1.63664e-5,14.0342
-9.0,1.18663e-6,2.5,4.25674e-6,3.58725
-9.0,1.18663e-6,3.0,1.04906e-5,8.84067
-9.0,1.16325e-6,3.5,3.24319e-5,27.8804
-9.0,1.17494e-6,4.0,6.33354e-5,53.9052
-9.0,1.18079e-6,4.5,0.000102152,86.5116
-9.0,1.21879e-6,5.0,0.000149212,122.426
-9.0,1.1954e-6,5.5,0.000201187,168.301
-9.0,1.21879e-6,6.0,0.000269379,221.022
-9.0,1.1954e-6,6.5,0.000336821,281.764
-9.0,1.27432e-6,7.0,0.000421109,330.458
-9.0,1.23048e-6,7.5,0.000514959,418.503
-9.0,1.20709e-6,8.0,0.000605242,501.406
-9.0,1.18663e-6,8.5,0.000698282,588.458
-9.0,1.09895e-6,9.0,0.000766144,697.16
-9.0,1.15741e-6,9.5,0.000843508,728.789
-9.0,1.18079e-6,10.0,0.000896682,759.392
-8.0,1.32108e-6,0.0,3.89071e-5,29.451
-8.0,1.14572e-6,0.5,3.83975e-5,33.5139
-8.0,1.16033e-6,1.0,3.37815e-5,29.1137
-8.0,1.16325e-6,1.5,2.65577e-5,22.8306
-8.0,1.15156e-6,2.0,1.64863e-5,14.3165
-8.0,1.11356e-6,2.5,5.2459e-6,4.71093
-8.0,1.18371e-6,3.0,8.60225e-6,7.26719
-8.0,1.1311e-6,3.5,2.67367e-5,23.6378
-8.0,1.15448e-6,4.0,5.26945e-5,45.6435
-8.0,1.17202e-6,4.5,8.56363e-5,73.0673
-8.0,1.15741e-6,5.0,0.00012772,110.35
-8.0,1.15741e-6,5.5,0.00017448,150.75
-8.0,1.09311e-6,6.0,0.000227055,207.715
-8.0,1.09018e-6,6.5,0.000282328,258.974
-8.0,1.12233e-6,7.0,0.000349471,311.38
-8.0,1.15156e-6,7.5,0.000432679,375.733
-8.0,1.14864e-6,8.0,0.000517627,450.643
-8.0,1.16325e-6,8.5,0.000615553,529.167
-8.0,1.10187e-6,9.0,0.00071255,646.673
-8.0,1.09603e-6,9.5,0.000797048,727.214
-8.0,1.13695e-6,10.0,0.000883554,777.127
-7.0,1.30355e-6,0.0,3.86673e-5,29.6631
-7.0,1.14572e-6,0.5,3.82776e-5,33.4092
-7.0,1.16033e-6,1.0,3.35717e-5,28.9329
-7.0,1.17787e-6,1.5,2.65277e-5,22.5218
-7.0,1.20125e-6,2.0,1.66062e-5,13.8241
-7.0,1.20709e-6,2.5,5.27587e-6,4.37073
-7.0,1.20417e-6,3.0,7.97279e-6,6.62098
-7.0,1.20125e-6,3.5,2.46685e-5,20.5357
-7.0,1.1954e-6,4.0,4.84082e-5,40.4954
-7.0,1.18663e-6,4.5,7.62843e-5,64.2865
-7.0,1.18663e-6,5.0,0.000110725,93.3105
-7.0,1.20125e-6,5.5,0.000155117,129.13
-7.0,1.1954e-6,6.0,0.000204155,170.784
-7.0,1.19833e-6,6.5,0.00025709,214.54
-7.0,1.21002e-6,7.0,0.000324142,267.882
-7.0,1.18663e-6,7.5,0.000405613,341.819
-7.0,1.12526e-6,8.0,0.000492358,437.55
-7.0,1.15448e-6,8.5,0.000579344,501.822
-7.0,1.16618e-6,9.0,0.000669836,574.385
-7.0,1.25094e-6,9.5,0.000752056,601.193
-7.0,1.2334e-6,10.0,0.000870934,706.125
-6.0,1.17494e-6,0.0,3.87872e-5,33.0121
-6.0,1.04342e-6,0.5,3.84575e-5,36.8572
-6.0,1.03465e-6,1.0,3.38714e-5,32.7371
-6.0,1.0405e-6,1.5,2.63478e-5,25.3222
-6.0,9.23584e-7,2.0,1.66362e-5,18.0127
-6.0,9.14815e-7,2.5,4.82626e-6,5.27567
-6.0,9.64503e-7,3.0,9.26169e-6,9.60255
-6.0,8.70973e-7,3.5,2.83553e-5,32.5559
-6.0,9.49889e-7,4.0,5.28744e-5,55.6638
-6.0,9.17738e-7,4.5,8.38379e-5,91.3528
-6.0,9.06047e-7,5.0,0.000119238,131.602
-6.0,8.91433e-7,5.5,0.000164079,184.062
-6.0,9.23584e-7,6.0,0.000214856,232.633
-6.0,9.29429e-7,6.5,0.000271387,291.993
-6.0,9.44043e-7,7.0,0.000339279,359.389
-6.0,9.73271e-7,7.5,0.000410828,422.111
-6.0,9.4112e-7,8.0,0.000492208,523.002
-6.0,9.52812e-7,8.5,0.000569362,597.56
-6.0,1.05511e-6,9.0,0.000652661,618.572
-6.0,1.0288e-6,9.5,0.000762457,741.113
-6.0,1.01419e-6,10.0,0.000859424,847.399
-5.0,1.01711e-6,0.0,3.8997e-5,38.341
-5.0,8.94356e-7,0.5,3.83376e-5,42.8662
-5.0,9.14815e-7,1.0,3.39314e-5,37.091
-5.0,9.49889e-7,1.5,2.67975e-5,28.2112
-5.0,8.62205e-7,2.0,1.74455e-5,20.2336
-5.0,8.94356e-7,2.5,5.72549e-6,6.4018
-5.0,8.59282e-7,3.0,7.6131e-6,8.85984
-5.0,9.32352e-7,3.5,2.58975e-5,27.7765
-5.0,9.06047e-7,4.0,5.06862e-5,55.9421
-5.0,9.26506e-7,4.5,8.12601e-5,87.706
-5.0,8.73896e-7,5.0,0.000118488,135.586
-5.0,8.59282e-7,5.5,0.000162521,189.136
-5.0,8.82665e-7,6.0,0.000211019,239.07
-5.0,9.00201e-7,6.5,0.000265243,294.649
-5.0,9.00201e-7,7.0,0.000328548,364.972
-5.0,9.14815e-7,7.5,0.00039734,434.339
-5.0,9.23584e-7,8.0,0.000475303,514.629
-5.0,8.70973e-7,8.5,0.000562019,645.277
-5.0,9.20661e-7,9.0,0.00064202,697.347
-5.0,9.73271e-7,9.5,0.000744832,765.287
-5.0,9.03124e-7,10.0,0.000849293,940.395
-4.0,9.11893e-7,0.0,3.8997e-5,42.7649
-4.0,8.15441e-7,0.5,3.7798e-5,46.3528
-4.0,7.94981e-7,1.0,3.38714e-5,42.6066
-4.0,7.86213e-7,1.5,2.63478e-5,33.5123
-4.0,7.56985e-7,2.0,1.6846e-5,22.2541
-4.0,7.71599e-7,2.5,5.36579e-6,6.95412
-4.0,7.77444e-7,3.0,8.5423e-6,10.9877
-4.0,7.86213e-7,3.5,2.72163e-5,34.617
-4.0,7.21911e-7,4.0,5.05364e-5,70.0036
-4.0,7.45294e-7,4.5,8.05407e-5,108.066
-4.0,7.71599e-7,5.0,0.00011624,150.648
-4.0,7.36525e-7,5.5,0.000157155,213.374
-4.0,7.07297e-7,6.0,0.000204844,289.615
-4.0,7.39448e-7,6.5,0.000261766,354.002
-4.0,7.27757e-7,7.0,0.000321145,441.281
-4.0,7.18989e-7,7.5,0.000387868,539.463
-4.0,7.74521e-7,8.0,0.000461035,595.252
-4.0,7.65753e-7,8.5,0.000541606,707.286
-4.0,7.42371e-7,9.0,0.000635306,855.78
-4.0,7.8329e-7,9.5,0.000745971,952.356
-4.0,7.42371e-7,10.0,0.000846505,1140.27
